Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment_x,Country,City,State,Region,Category,Product Name,Sub-Category,Sales,Quantity,Discount,Profit_Margin_Pct,Profit,Product ID,Postal Code,Shipping_Days,Profit_Margin,Is_Profitable,Year,Month,Quarter,Year_Month,RFM_Score,Segment_y
1,US-15192-2018,2018-01-31,2018-02-05,Standard Class,CG-9839,Customer_456,Home Office,United States,New York,Ohio,East,Office Supplies,Computers Standard,Computers,443.67758326371,3,0.0,0.0849056440881802,37.67073097449251,Of-Com-232,90210,5,8.490564408818022,True,2018,1,1,2018-01,343,VIP Customer
2,US-78916-2018,2018-12-30,2019-01-04,First Class,CG-5017,Customer_388,Corporate,United States,Houston,Ohio,East,Technology,Paper Pro,Paper,423.4844627874099,3,0.0,0.0695078555785858,29.4354968792023,Te-Pap-117,85001,5,6.950785557858586,True,2018,12,4,2018-12,444,VIP Customer
3,US-79306-2016,2017-05-10,2017-05-13,First Class,CG-3609,Customer_632,Corporate,United States,San Diego,New York,West,Furniture,Phones Premium,Phones,333.329438651436,2,0.0,0.0423309762078787,14.11016053693951,Fu-Pho-945,85001,3,4.2330976207878726,True,2017,5,2,2017-05,212,Lost Customer
4,US-44381-2018,2018-07-18,2018-07-20,Standard Class,CG-1082,Customer_226,Home Office,United States,Houston,Georgia,East,Technology,Computers Deluxe,Computers,61.12834517833499,1,0.1,0.0513899190240044,2.6701736024681253,Te-Com-981,10001,2,4.368143117040381,True,2018,7,3,2018-07,444,VIP Customer
5,US-91081-2018,2018-02-04,2018-02-09,First Class,CG-2789,Customer_624,Home Office,United States,San Diego,New York,West,Technology,Pens Basic,Pens,805.3029321932731,2,0.0,0.0507525391740635,40.87116861312736,Te-Pen-809,75201,5,5.075253917406357,True,2018,2,1,2018-02,344,VIP Customer
6,US-63260-2017,2017-12-31,2018-01-01,Standard Class,CG-6708,Customer_195,Consumer,United States,Chicago,Illinois,East,Technology,Computers Premium,Computers,214.68574030366665,1,0.25,0.0713895970396823,9.578955306527902,Te-Com-635,90210,1,4.461849814980144,True,2017,12,4,2017-12,344,VIP Customer
7,US-68418-2017,2017-11-10,2017-11-15,Standard Class,CG-8973,Customer_26,Corporate,United States,Houston,California,West,Technology,Bookcases Premium,Bookcases,181.64638616007963,2,0.1,0.0637691057016467,9.845913459459624,Te-Boo-960,60601,5,5.4203739846399746,True,2017,11,4,2017-11,442,Loyal Customer
8,US-10148-2017,2015-05-02,2015-05-03,Standard Class,CG-5116,Customer_194,Consumer,United States,Chicago,Michigan,East,Office Supplies,Chairs Premium,Chairs,23.409269997310567,1,0.2,0.0634369666241378,1.0395091556603755,Of-Cha-420,60601,1,4.44058766368965,True,2015,5,2,2015-05,121,Lost Customer
9,US-36745-2017,2016-04-11,2016-04-13,Same Day,CG-6526,Customer_19,Corporate,United States,Houston,Florida,West,Office Supplies,Paper Pro,Paper,185.45240256477035,1,0.0,0.0402918083331687,7.472212659065382,Of-Pap-452,94101,2,4.029180833316876,True,2016,4,2,2016-04,121,Lost Customer
10,US-65833-2015,2018-05-23,2018-05-26,Standard Class,CG-3741,Customer_537,Home Office,United States,Seattle,Texas,Central,Technology,Computers Premium,Computers,360.8873407362248,1,0.15,0.0859302223459475,24.03362530925869,Te-Com-511,90210,3,6.659592231810935,True,2018,5,2,2018-05,443,VIP Customer
