Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Category,Product Name,Sub-Category,Sales,Quantity,Discount,Profit_Margin_Pct,Profit,Product ID,Postal Code
1,US-15192-2018,2018-01-31,2018-02-05,Standard Class,CG-9839,Customer_456,Home Office,United States,New York,Ohio,East,Office Supplies,Computers Standard,Computers,443.67758326370995,3,0.0,0.08490564408818023,37.67073097449251,Of-Com-232,90210
2,US-78916-2018,2018-12-30,2019-01-04,First Class,CG-5017,Customer_388,Corporate,United States,Houston,Ohio,East,Technology,Paper Pro,Paper,423.4844627874099,3,0.0,0.06950785557858585,29.4354968792023,Te-Pap-117,85001
3,US-79306-2016,2017-05-10,2017-05-13,First Class,CG-3609,Customer_632,Corporate,United States,San Diego,New York,West,Furniture,Phones Premium,Phones,333.32943865143596,2,0.0,0.042330976207878734,14.11016053693951,Fu-Pho-945,85001
4,US-44381-2018,2018-07-18,2018-07-20,Standard Class,CG-1082,Customer_226,Home Office,United States,Houston,Georgia,East,Technology,Computers Deluxe,Computers,61.12834517833499,1,0.1,0.05138991902400448,2.6701736024681253,Te-Com-981,10001
5,US-91081-2018,2018-02-04,2018-02-09,First Class,CG-2789,Customer_624,Home Office,United States,San Diego,New York,West,Technology,Pens Basic,Pens,805.3029321932731,2,0.0,0.050752539174063575,40.87116861312736,Te-Pen-809,75201
6,US-63260-2017,2017-12-31,2018-01-01,Standard Class,CG-6708,Customer_195,Consumer,United States,Chicago,Illinois,East,Technology,Computers Premium,Computers,214.68574030366665,1,0.25,0.0713895970396823,9.578955306527902,Te-Com-635,90210
7,US-68418-2017,2017-11-10,2017-11-15,Standard Class,CG-8973,Customer_26,Corporate,United States,Houston,California,West,Technology,Bookcases Premium,Bookcases,181.64638616007963,2,0.1,0.06376910570164677,9.845913459459625,Te-Boo-960,60601
8,US-10148-2017,2015-05-02,2015-05-03,Standard Class,CG-5116,Customer_194,Consumer,United States,Chicago,Michigan,East,Office Supplies,Chairs Premium,Chairs,23.409269997310567,1,0.2,0.06343696662413786,1.0395091556603755,Of-Cha-420,60601
9,US-36745-2017,2016-04-11,2016-04-13,Same Day,CG-6526,Customer_19,Corporate,United States,Houston,Florida,West,Office Supplies,Paper Pro,Paper,185.45240256477035,1,0.0,0.04029180833316876,7.472212659065382,Of-Pap-452,94101
10,US-65833-2015,2018-05-23,2018-05-26,Standard Class,CG-3741,Customer_537,Home Office,United States,Seattle,Texas,Central,Technology,Computers Premium,Computers,360.88734073622476,1,0.15,0.08593022234594758,24.033625309258692,Te-Com-511,90210
11,US-84907-2016,2015-11-27,2015-12-01,Standard Class,CG-1797,Customer_559,Consumer,United States,Chicago,Illinois,Central,Technology,Pens Deluxe,Pens,90.9273532541928,2,0.0,0.04524572319863774,4.11407385652396,Te-Pen-671,75201
12,US-71521-2018,2015-03-29,2015-04-02,Same Day,CG-3526,Customer_711,Consumer,United States,Seattle,Florida,East,Furniture,Software Basic,Software,55.29307111893239,1,0.1,0.03043963324343474,1.4306356848989372,Fu-Sof-519,77001
13,US-41075-2016,2018-10-28,2018-10-29,Second Class,CG-5751,Customer_264,Consumer,United States,Seattle,Florida,East,Office Supplies,Phones Pro,Phones,42.40213344588141,1,0.0,0.042471949936343956,1.800901288907651,Of-Pho-270,94101
